age_rating,Count of title for movie,Count of title for movie 2,Count of title for tv,description,genre,Sum of running_time,title,type,Sum of year
A,1,1,,"Desperate to be a mother, a 45-year-old woman strives hard to conceive a child. However, when she meets a young girl, her life takes a turn for good.",Drama,27,Mannat,movie,2021
A,1,1,,"Dev, a cop, has a very strict view on terrorism, when Farhan, an unruly Muslim youth, changes his perception. This earns the resentment of Dev's former partner.",Drama,164,Dev,movie,2004
A,1,1,,Discover Will Ferrell in his heralded Broadway play based on his impression of then outgoing US President George W. Bush.,Standup Comedy,91,Will Ferrell: You're Welcome America. A Final Night With George W Bush,movie,2018
A,1,1,,"Dominika Egorova, a former ballerina turned Russian intelligence agent, works as a Sparrow where she uses her body as a weapon to entrap a CIA agent.",Action,140,Red Sparrow,movie,2018
A,,,1,Dong-soo's ordinary life is upended when he loses an eye to an organ hunter and gets connected to the vision of a notorious serial killer.,Thriller,,Connect,tv,2022
A,,,1,Dopesick examines how one company triggered the worst drug epidemic in US history & takes viewers to the epicentre of America's struggle with opioid addiction.,Drama,,Dopesick,tv,2021
A,,,1,Dr John Thackery takes over as the chief surgeon at the Knickerbocker Hospital in New York and deals with a racially charged city and drug addiction.,Drama,,The Knick,tv,2014
A,,,1,"During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war between Heaven and Hell.",Drama,,Carnivale,tv,2003
A,,,1,Dwayne 'The Rock' Johnson stars in this series as a retired football superstar trying to reinvent himself as a financial manager for players in Miami.,Comedy,,Ballers,tv,2015
A,1,1,,"Embracing new beginnings, a rape victim- Vidya, ties the knot with her beau Vijay. But tension mounts as the tormenting past follows her like a shadow.",Crime,16,Tamas,movie,2022
A,1,1,,"Exposing the horrors of sex trafficking, it's a young girl's fight to save her sister, who is sold off by their own father.",Drama,123,Love Sonia,movie,2018
A,,,1,Ezekiel Reyes is a former convict who returns to his hometown with a new outlook on life. He becomes a gangster and falls deeper into the world of crime.,Crime,,Mayans M.C.,tv,2018
A,,,1,"Fabián Delmar, a former soap opera hunk, struggles to find his place in the modern world.",Comedy,,"The Heartthrob: TV Changed, He Didn’t",tv,2022
A,1,1,,FBI agent Sean Archer must go dangerously undercover to investigate the location of a lethal biological weapon planted by the sadistic terrorist Castor Troy.,Thriller,138,Face/Off,movie,1997
A,,,1,Five friends with big egos and small brains own and operate Paddy’s Pub in Philadelphia.,Comedy,,It's Always Sunny In Philadelphia,tv,2005
A,,,1,"Following a breakdown, forensics investigator Paula is admitted to a psychiatric hospital. There, she is pulled into the most terrifying corners of her mind.",Horror,,Insanity,tv,2022
A,1,1,,"Following the economic collapse of a town in rural Nevada, Fern sets off on the road exploring a life outside of conventional society as a modern-day nomad.",Drama,107,Nomadland,movie,2021
A,,,1,Follows two couples living under the same roof who struggle to keep their relationships alive while pursuing their dreams.,Comedy,,Togetherness,tv,2015
A,,,1,"For years, a hotel room has witnessed different stories, from pleasant to horrific ones. Now, its worn-out bed narrates these tales interwoven with emotions.",Drama,,Bed Stories,tv,2022
A,1,1,,Former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,Action,115,Con Air,movie,1997
A,,,1,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,Drama,,Sex and the City,tv,1998
A,,,1,"Four Indigenous teenagers from rural Oklahoma steal, rob and save in order to get to the exotic, mysterious and faraway land of California.",Comedy,,Reservation Dogs,tv,2021
A,,,1,"Four individuals are forced into a common struggle for survival after a failed drug deal, running from north to south of Chile.",Action,,Profugos,tv,2011
A,1,1,,"Frustrated with dating apps, Noa meets the alluring Steve at a grocery store. However, while on a weekend getaway, she learns that he has some unusual appetites.",Thriller,114,Fresh,movie,2022
A,,,1,Generation Kill follows the highly trained Marines of First Recon Battalion through the first 40 days of the Iraq war.,Action,,Generation Kill,tv,2008
A,1,1,,"George Lopez performs at the Concert Hall at the Kennedy Center for the Performing Arts in Washington, D.C.",Standup Comedy,59,"George Lopez: The Wall - Live From Washington, D.C.",movie,2017
A,1,1,,"Grace, a young bride, whose eccentric new in-laws force her to take part in a terrifying game.",Horror,95,Ready or Not,movie,2019
A,,,1,Hedge fund titan Bobby Axelrod and District Attorney Chuck Rhoades play a high stakes game of cat and mouse which has them questioning - what is power worth?,Drama,,Billions,tv,2016
A,,,1,"Hosted by B.J. Novak, the curated collection of character-driven stories choose art over argument to engage with the most relevant issues of the modern era.",Comedy,,The Premise,tv,2021
A,,,1,"In “Summer” a man named Sam is drawn to the mysterious British island, while “Winter” follows single mother Helen as she comes to the island seeking answers.",Drama,,The Third Day,tv,2020
A,,,1,"In 1987 New York, LGBTQ ball fixture Blanca starts her own house, soon becoming a mother to a gifted dancer and a sex worker in love with a yuppie client.",Drama,,Pose,tv,2018
A,1,1,,"In a classic hour of comedy, veteran comic David Brenner tackles society's latest trends and news in his inimitable upbeat style.",Standup Comedy,59,David Brenner: Back With A Vengeance!,movie,2000
A,,,1,"In a futuristic amusement park, Westworld, the visitors interact with automatons. However, all hell breaks loose when the automatons begin malfunctioning.",Science Fiction,,Westworld,tv,2016
A,1,1,,"In a village plagued by black magic, a policeman sets off to seek justice for his brother's meaningless murder but discovers something unexpected.",Thriller,98,Maa Oori Polimera,movie,2021
A,,,1,"In booming 1932 Los Angeles, a down-and-out defence attorney takes on the case of a lifetime.",Drama,,Perry Mason,tv,2020
A,1,1,,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",Comedy,118,Good Luck Jerry,movie,2022
A,1,1,,"In his 10th HBO stand-up special, Bill Maher, discusses midterm elections, income inequality, a Trump lawsuit and why tattoos are stupid.",Standup Comedy,60,Bill Maher: Live From D.C.,movie,2014
A,,,1,"In Islamabad, Pakistan, a low-level State Department bureaucrat and his colleagues must pull through the chaos to save the planet from World War Three.",Comedy,,The Brink,tv,2015
A,,,1,"In San Francisco, California, Ah Sahm, a martial arts prodigy from China, leads a colourful life as he becomes a hatchet man for a powerful tong.",Action,,Warrior,tv,2019
A,1,1,,"In the aftermath of being left by Jules at the train station and relapsing, Rue celebrates Christmas.",Drama,57,Euphoria: Trouble Don't Last Always,movie,2020
A,,,1,"In the bohemian subculture of NYC, two 20-something friends plot a series of entrepreneurial strategies to short-circuit the traditional route to success.",Comedy,,How To Make It In America,tv,2010
A,,,1,"In the crime-ridden streets of Mumbai, journeying through the maze of psychopathic minds is brilliant supercop Rudraveer Singh, guarding against their darkness.",Crime,,Rudra: The Edge of Darkness,tv,2022
A,,,1,"In the drug-ridden streets of West Baltimore, there are good guys and there are bad guys. Sometimes you need more than a badge to tell them apart.",Drama,,The Wire,tv,2002
