Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
55000000,AU,2017,Qtr 1,February,9,"Drama, Romance", English,381367046,65,Fifty Shades Darker
129100000,AU,2017,Qtr 1,February,15,"Animation, Family, Mystery, Comedy, Western", English,990787924,80,Scooby-Doo! Shaggy's Showdown
150000000,AU,2017,Qtr 1,February,16,"Action, Adventure, Fantasy", English,334486852,60,The Great Wall
30000000,AU,2017,Qtr 1,February,16,"Action, Crime, Thriller", English,33296659,59,Sleepless
25000000,AU,2017,Qtr 1,February,16,"Drama, History", English,230677636,81,Hidden Figures
127000000,AU,2017,Qtr 1,March,2,"Action, Drama, Science Fiction", English,614202315,78,Logan
5000000,AU,2017,Qtr 1,March,2,"Drama, Mystery, Thriller, Fantasy", English,18945682,70,Before I Fall
30000000,AU,2017,Qtr 1,March,2,"Romance, Adventure, Science Fiction, Drama", English,16481405,71,The Space Between Us
18000000,AU,2017,Qtr 1,March,2,"Thriller, Drama", English,7768259,75,Miss Sloane
61140000,AU,2017,Qtr 1,March,6,"Animation, Action, Fantasy", English,611503763,73,Justice League Dark
185000000,AU,2017,Qtr 1,March,10,"Action, Adventure, Fantasy", English,561072059,65,Kong: Skull Island
40000000,AU,2017,Qtr 1,March,16,"Horror, Mystery, Science Fiction, Thriller", English,26620002,63,A Cure for Wellness
120000000,AU,2017,Qtr 1,March,23,"Action, Adventure, Science Fiction", English,142531552,63,Power Rangers
125000000,AU,2017,Qtr 1,March,23,"Animation, Comedy, Family", English,527909949,65,The Boss Baby
180000000,AU,2017,Qtr 1,March,23,"Family, Fantasy, Romance", English,1707354326,140,Beauty and the Beast
133000000,AU,2017,Qtr 1,March,23,"Horror, Science Fiction, Mystery, Thriller", English,175337247,128,Life
110000000,AU,2017,Qtr 1,March,30,"Action, Crime, Mystery, Science Fiction, Thriller", English,167910690,61,Ghost in the Shell
80000000,AU,2017,Qtr 1,March,30,"Animation, Action, Comedy, Family", English,310563096,72,The Lego Batman Movie
60000000,AU,2017,Qtr 1,March,30,"Family, Adventure, Animation, Comedy", English,197578586,63,Smurfs: The Lost Village
77000000,AU,2017,Qtr 2,April,4,"Science Fiction, Animation, Action", English,803867204,74,Teen Titans: The Judas Contract
2937023.8,AU,2017,Qtr 2,April,6,"Animation, Drama", Japanese,30156463,84,A Silent Voice: The Movie
5000000,AU,2017,Qtr 2,April,10,"Comedy, Drama", English,4620399,60,Table 19
45177862.6,AU,2017,Qtr 2,April,11,"War, Thriller", English,1600000,66,Mine
13000000,AU,2017,Qtr 2,April,11,"Western, Mystery, Thriller, Drama", English,158013832,71,Brimstone
250000000,AU,2017,Qtr 2,April,12,"Action, Crime, Thriller", English,1236703796,69,The Fate of the Furious
7840689,AU,2017,Qtr 2,April,13,"Drama, Fantasy, Science Fiction", English,3029287,63,Colossal
5500000,AU,2017,Qtr 2,April,20,"Mystery, Thriller, Drama, Horror", English,788191,60,Berlin Syndrome
88400000,AU,2017,Qtr 2,April,21,Science Fiction, English,235364405,55,Science Fiction Volume One: The Osiris Child
100000,AU,2017,Qtr 2,April,24,"Drama, Fantasy", English,2769782,71,A Ghost Story
200000000,AU,2017,Qtr 2,April,25,"Adventure, Action, Science Fiction", English,863756051,76,Guardians of the Galaxy Vol. 2
116300000,AU,2017,Qtr 2,April,26,"Horror, Drama, Thriller, Mystery", English,872776677,46,Cage Dive
20000000,AU,2017,Qtr 2,April,27,"Drama, Fantasy", English,96860808,75,The Shack
10000000,AU,2017,Qtr 2,April,28,comedy, English,62556228,70,How to Be a Latin Lover
42000000,AU,2017,Qtr 2,May,3,"Action, Comedy", English,60129558,54,Snatched
22000000,AU,2017,Qtr 2,May,4,"Adventure, Comedy, Fantasy, Family, Drama", English,205035819,76,A Dog's Purpose
20000000,AU,2017,Qtr 2,May,4,"Drama, History, War", English,26152835,74,The Zookeeper's Wife
18000000,AU,2017,Qtr 2,May,4,"Drama, Thriller, Science Fiction", English,40651864,55,The Circle
5000000,AU,2017,Qtr 2,May,4,"Mystery, Thriller, Horror", English,252297405,76,Get Out
97000000,AU,2017,Qtr 2,May,11,"Science Fiction, Horror, Mystery", English,238521247,61,Alien: Covenant
43000000,AU,2017,Qtr 2,May,12,"Drama, Fantasy", English,46414530,73,A Monster Calls
